,Movie_Name,Year_of_Release,C_Rating,Watch_Time_(min),Genre,Movie_Rating,Metascore,Votes,Gross_($M),Description
601,Pride & Prejudice,(2005),PG,129 min,"Drama, Romance            ",7.8,82        ,"307,507",$38.41M,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
602,All Quiet on the Western Front,(2022),R,148 min,"Action, Drama, War            ",7.8,76        ,"202,901",,A young German soldier's terrifying experiences and distress on the western front during World War I.
603,Tombstone,(1993),R,130 min,"Biography, Drama, History            ",7.8,50        ,"155,547",$56.51M,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
604,The Gentlemen,(2019),R,113 min,"Action, Comedy, Crime            ",7.8,51        ,"359,453",$36.47M,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
605,American Gangster,(2007),R,157 min,"Biography, Crime, Drama            ",7.8,76        ,"435,975",$130.16M,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
606,Rogue One: A Star Wars Story,(2016),PG-13,133 min,"Action, Adventure, Sci-Fi            ",7.8,65        ,"656,584",$532.18M,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
607,The Breakfast Club,(1985),R,97 min,"Comedy, Drama            ",7.8,66        ,"412,966",$45.88M,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.
608,RRR,(2022),Not Rated,187 min,"Action, Drama            ",7.8,83        ,"149,338",$14.50M,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
609,Call Me by Your Name,(2017),R,132 min,"Drama, Romance            ",7.8,94        ,"287,530",$18.10M,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
610,Star Wars: Episode VII - The Force Awakens,(2015),PG-13,138 min,"Action, Adventure, Sci-Fi            ",7.8,80        ,"946,213",$936.66M,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
611,The Notebook,(2004),PG-13,123 min,"Drama, Romance            ",7.8,53        ,"587,138",$81.00M,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom. However, social differences soon get in the way."
612,Drive,(I) (2011),R,100 min,"Action, Drama            ",7.8,78        ,"662,915",$35.06M,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.
613,Dunkirk,(2017),PG-13,106 min,"Action, Drama, History            ",7.8,94        ,"680,811",$188.37M,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
614,The Curious Case of Benjamin Button,(2008),PG-13,166 min,"Drama, Fantasy, Romance            ",7.8,70        ,"666,941",$127.51M,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
615,Little Women,(2019),PG,135 min,"Drama, Romance            ",7.8,91        ,"218,406",$108.10M,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
616,The Irishman,(2019),R,209 min,"Biography, Crime, Drama            ",7.8,94        ,"402,620",$7.00M,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa."
617,Willy Wonka & the Chocolate Factory,(1971),G,100 min,"Family, Fantasy, Musical            ",7.8,67        ,"208,932",$4.00M,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
618,Apocalypto,(2006),R,139 min,"Action, Adventure, Drama            ",7.8,68        ,"319,720",$50.87M,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
619,Ferris Bueller's Day Off,(1986),PG-13,103 min,Comedy            ,7.8,61        ,"368,916",$70.14M,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that."
620,The Hateful Eight,(2015),R,168 min,"Crime, Drama, Mystery            ",7.8,68        ,"622,235",$54.12M,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
621,The Big Short,(2015),R,130 min,"Biography, Comedy, Drama            ",7.8,81        ,"445,951",$70.26M,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is."
622,Hidden Figures,(2016),PG,127 min,"Biography, Drama, History            ",7.8,74        ,"240,111",$169.61M,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
623,Ghostbusters,(1984),PG,105 min,"Action, Comedy, Fantasy            ",7.8,71        ,"425,101",$238.63M,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
624,Atonement,(2007),R,123 min,"Drama, Mystery, Romance            ",7.8,85        ,"286,964",$50.93M,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
625,About Time,(I) (2013),R,123 min,"Comedy, Drama, Fantasy            ",7.8,55        ,"363,717",$15.32M,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
626,The Social Network,(2010),PG-13,120 min,"Biography, Drama            ",7.8,95        ,"721,961",$96.96M,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business."
627,Nightcrawler,(2014),R,117 min,"Crime, Drama, Thriller            ",7.8,76        ,"568,207",$32.38M,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
628,The Hobbit: An Unexpected Journey,(2012),PG-13,169 min,"Adventure, Fantasy            ",7.8,58        ,"843,104",$303.00M,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
629,Captain America: The Winter Soldier,(2014),PG-13,136 min,"Action, Adventure, Sci-Fi            ",7.8,70        ,"865,052",$259.77M,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
630,A Bronx Tale,(1993),R,121 min,"Crime, Drama            ",7.8,80        ,"148,315",$17.27M,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
631,Moonrise Kingdom,(2012),PG-13,94 min,"Comedy, Drama, Family            ",7.8,84        ,"356,567",$45.51M,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
632,Captain America: Civil War,(2016),PG-13,147 min,"Action, Sci-Fi            ",7.8,75        ,"809,854",$408.08M,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
633,Cast Away,(2000),PG-13,143 min,"Adventure, Drama, Romance            ",7.8,73        ,"608,341",$233.63M,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
634,Little Miss Sunshine,(2006),R,101 min,"Comedy, Drama            ",7.8,80        ,"494,638",$59.89M,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
635,Taken,(I) (2008),PG-13,90 min,"Action, Crime, Thriller            ",7.8,51        ,"613,950",$145.00M,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
636,Hot Fuzz,(2007),R,121 min,"Action, Comedy, Mystery            ",7.8,81        ,"516,453",$23.64M,"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town."
637,The Right Stuff,(1983),PG,193 min,"Adventure, Biography, Drama            ",7.8,91        ,"63,156",$21.50M,"The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers preferred."
638,Predator,(1987),R,107 min,"Action, Adventure, Horror            ",7.8,47        ,"433,749",$59.74M,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
639,Remember the Titans,(2000),PG,113 min,"Biography, Drama, Sport            ",7.8,48        ,"221,949",$115.65M,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
640,The Girl with the Dragon Tattoo,(2011),R,158 min,"Crime, Drama, Mystery            ",7.8,71        ,"473,650",$102.52M,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.
641,The Worst Person in the World,(2021),R,128 min,"Comedy, Drama, Romance            ",7.8,90        ,"79,362",,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
642,The Sandlot,(1993),PG,101 min,"Comedy, Drama, Family            ",7.8,55        ,"96,276",$32.42M,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
