,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
226,Kẻ Hủy Diệt,(1984),107 min,8.1,84        ,"882,613",$38.40M,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
227,Người Hầu Gái,(2016),145 min,8.1,84        ,"155,886",$2.01M,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
228,Harry Potter và Bảo Bối Tử Thần: Phần 2,(2011),130 min,8.1,85        ,"897,163",$381.01M,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
229,Chú Chuột Đầu Bếp,(2007),111 min,8.1,96        ,"762,173",$206.45M,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
230,Hội Cố Thi Nhân,(1989),128 min,8.1,79        ,"507,306",$95.86M,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
231,Lối Sống Đồi Trụy,(1996),93 min,8.1,83        ,"699,308",$16.50M,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
232,Thị Trấn Fargo,(1996),98 min,8.1,86        ,"690,752",$24.61M,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
233,Những Mảnh Ghép Cảm Xúc,(I) (2015),95 min,8.1,94        ,"733,024",$356.46M,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
234,Về Với Thiên Nhiên,(2007),148 min,8.1,73        ,"633,551",$18.35M,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
235,Bí Kíp Luyện Rồng,(2010),98 min,8.1,75        ,"758,325",$217.58M,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
236,Băng Đảng Người Anh,(1998),107 min,8.1,66        ,"593,523",$3.90M,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
237,Tiêu Điểm,(I) (2015),129 min,8.1,93        ,"480,634",$45.06M,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
238,Three Billboards: Truy Tìm Công Lý,(2017),115 min,8.1,88        ,"523,968",$54.51M,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
239,Room,(I) (2015),118 min,8.1,86        ,"430,397",$14.68M,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
240,Before Sunrise,(1995),101 min,8.1,77        ,"318,936",$5.54M,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
241,Ngọt Và Đắng,(2008),116 min,8.1,72        ,"787,640",$148.10M,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
242,Công Ty Quái Vật,(2001),92 min,8.1,79        ,"928,724",$289.92M,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
243,Hồi Ức Kẻ Sát Nhân,(2003),131 min,8.1,82        ,"194,430",$0.01M,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
244,Trung Đội,(1986),120 min,8.1,92        ,"422,238",$138.53M,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
245,Giai Điệu Hạnh Phúc,(1965),172 min,8.1,63        ,"243,703",$163.21M,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
246,Kẻ Săn Hươu,(1978),183 min,8.1,86        ,"345,822",$48.98M,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
247,12 Năm Nô Lệ,(2013),134 min,8.1,96        ,"713,955",$56.67M,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
248,Đường Đua Nghẹt Thở,(I) (2013),123 min,8.1,74        ,"489,576",$26.95M,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
249,Barry Lyndon,(1975),185 min,8.1,89        ,"173,093",#188,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
250,Stalker,(1979),162 min,8.1,83        ,"137,991",$0.23M,A guide leads two men through an area known as the Zone to find a room that grants wishes.
251,Bò Đực Nổi Điên,(1980),129 min,8.1,90        ,"361,860",$23.38M,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
