,Movie Name,Year of Release,Watch Time (min),Genre,Movie Rating,Metascore,Votes,Gross ($M),Description
131,High and Low,1963,143,Crime,8.4,90        ,47492,,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
132,Sardar Udham,2021,164,Biography,8.4,,43908,,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.
133,Dil Bechara,2020,101,Comedy,8.4,,132406,,"The emotional journey of two hopelessly-in-love youngsters; a young girl, Kizie, who is suffering from cancer; and Manny, a boy Kizie meets at a support group."
134,Asuran,2019,141,Action,8.4,,31033,,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story."
135,Vada Chennai,2018,164,Action,8.4,,18149,,A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.
136,Attack on Titan: Chronicle,2020,122,Animation,8.4,,11014,,A recap of the popular anime series Shingeki no Kyojin from seasons 1-3.
137,The Lizard,2004,115,Comedy,8.4,,21258,,A recently jailed petty thief disguises as a Mullah and succeeds in escaping; but has to stay in the Mullah' role longer than he expected to.
138,Sansho the Bailiff,1954,124,Drama            ,8.4,96        ,17265,,"In medieval Japan, a compassionate governor is sent into exile. His wife and children try to join him, but are separated, and the children grow up amid suffering and oppression."
139,Black Friday,2004,143,Action,8.4,76        ,21391,0.03,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen."
140,The Pinchcliffe Grand Prix,1975,88,Animation,8.4,,13820,,Reodor Felgen decides that he will enter a car race to defeat his former friend who has stolen his plans for a car.
141,Drishyam 2,2021,152,Crime,8.4,,38881,,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
142,Philanthropy,2002,110,Comedy,8.4,,13449,,"Ovidiu, a high-school teacher looking for an extra buck, finds an unexpected way to earn easy money."
143,Aruvi,2016,130,Drama            ,8.4,,13446,,A gentle girl born and brought up amidst the ever growing eco-social-consumeristic environment finds it difficult to fit in the society. She decides to take it hard on the people. What she does is the rest of the story.
144,Mahanati,2018,177,Biography,8.4,,13405,,"Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s."
145,Thani Oruvan,2015,160,Action,8.4,,20698,,"Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him."
146,Gentlemen of Fortune,1971,88,Comedy,8.4,,12145,,It so happens that peaceful kindergarten teacher is incredibly similar to the terrible villain who stole the helmet of Alexander the Great. And villain's accomplices are unexpectedly similar to children - they also need love and care.
147,Kaun Pravin Tambe?,2022,134,Biography,8.4,,10761,,"An indian cricketer who shows persistence and hardwork to achieve his ultimate goal of playing a Ranji Trophy. At the penultimate stage of the career at a age when it is believed people's career ends, he starts a new chapter of his life."
148,"When I Grow Up, I'll Be a Kangaroo",2004,92,Comedy            ,8.4,,11079,,"During one peculiar night, the lives of several interconnected people are changed, as they rapidly experience love, disappointment, joy, greed and remorse."
149,King of the Doormen,1976,84,Comedy,8.4,,12981,,"A janitor/doorman and his family who came to ""big city"" Istanbul, with the hope to live a better life. With the different characters living in the building, the story evolves around the ...                See full summary »"
150,Top Gun: Maverick,2022,130,Action,8.3,78        ,578255,718.73,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
151,Good Will Hunting,1997,126,Drama,8.3,70        ,999265,138.43,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
152,Inglourious Basterds,2009,153,Adventure,8.3,69        ,1485875,120.54,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
153,Requiem for a Dream,2000,102,Drama            ,8.3,71        ,859146,3.64,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
