,Movie_Name,Year_of_Release,C_Rating,Watch_Time_(min),Genre,Movie_Rating,Metascore,Votes,Gross_($M),Description
811,Midnight in Paris,2011,PG-13,94,"Comedy, Fantasy, Romance            ",7.7,81        ,433733,56.82,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
812,Wreck-It Ralph,2012,PG,101,"Animation, Adventure, Comedy            ",7.7,72        ,435020,189.42,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
813,Gravity,2013,PG-13,91,"Drama, Sci-Fi, Thriller            ",7.7,96        ,839141,274.09,Two astronauts work together to survive after an accident leaves them stranded in space.
814,What's Eating Gilbert Grape,1993,PG-13,118,Drama            ,7.7,73        ,243445,9.17,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
815,"O Brother, Where Art Thou?",2000,PG-13,107,"Adventure, Comedy, Crime            ",7.7,69        ,319287,45.51,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
816,Halloween,1978,R,91,"Horror, Thriller            ",7.7,87        ,287930,47.00,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
817,The Trial of the Chicago 7,2020,R,129,"Drama, History, Thriller            ",7.7,76        ,183303,,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois."
818,A Man Called Ove,2015,PG-13,116,"Comedy, Drama, Romance            ",7.7,70        ,62718,3.48,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors."
819,The Boondock Saints,1999,R,108,"Action, Thriller            ",7.7,44        ,243027,0.03,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
820,Who Framed Roger Rabbit,1988,PG,104,"Animation, Adventure, Comedy            ",7.7,83        ,207320,156.45,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
821,Being John Malkovich,1999,R,113,"Comedy, Drama, Fantasy            ",7.7,90        ,343156,22.86,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
822,Sound of Metal,2019,R,120,"Drama, Music            ",7.7,82        ,136084,,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.
823,Serpico,1973,R,130,"Biography, Crime, Drama            ",7.7,81        ,127543,29.80,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
824,The Fault in Our Stars,2014,PG-13,126,"Drama, Romance            ",7.7,69        ,386096,124.87,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
825,Sense and Sensibility,1995,PG,136,"Drama, Romance            ",7.7,84        ,119801,43.18,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
826,Dirty Harry,1971,R,102,"Action, Crime, Thriller            ",7.7,87        ,161221,35.90,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath."
827,Star Trek II: The Wrath of Khan,1982,PG,113,"Action, Adventure, Sci-Fi            ",7.7,68        ,124875,78.91,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
828,When Harry Met Sally...,1989,R,95,"Comedy, Drama, Romance            ",7.7,76        ,227844,92.82,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
829,The Theory of Everything,2014,PG-13,123,"Biography, Drama, Romance            ",7.7,71        ,462559,35.89,A look at the relationship between the famous physicist Stephen Hawking and his wife.
830,Donnie Brasco,1997,R,127,"Biography, Crime, Drama            ",7.7,76        ,316025,41.91,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
831,Adaptation.,2002,R,115,"Comedy, Drama            ",7.7,83        ,196680,22.25,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
832,Bonnie and Clyde,1967,R,111,"Action, Biography, Crime            ",7.7,86        ,116164,,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
833,Naked,1993,Not Rated,131,"Comedy, Drama            ",7.7,85        ,41334,1.77,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.
834,Star Trek Into Darkness,2013,PG-13,132,"Action, Adventure, Sci-Fi            ",7.7,72        ,488687,228.78,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
835,Glengarry Glen Ross,1992,R,100,"Crime, Drama, Mystery            ",7.7,82        ,109885,10.73,An examination of the machinations behind the scenes at a real estate office.
836,Clerks,1994,R,92,Comedy            ,7.7,70        ,226923,3.15,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
837,Philadelphia,1993,PG-13,125,Drama            ,7.7,66        ,248052,77.32,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
838,Fried Green Tomatoes,1991,PG-13,130,Drama            ,7.7,64        ,77626,82.42,A housewife who is unhappy with her life befriends an old lady at a nursing home and is enthralled by the tales she tells of people she used to know.
839,"South Park: Bigger, Longer & Uncut",1999,R,81,"Animation, Comedy, Fantasy            ",7.7,73        ,209290,52.04,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
840,The Name of the Rose,1986,R,130,"Drama, Mystery, Thriller            ",7.7,54        ,111624,7.15,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
